type,date,symbol,currentPrice,open,previousClose,dayLow,dayHigh,recommendation,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,totalRevenue,revenuePerShare,totalDebt,debtToEquity,totalCash,totalCashPerShare,ebitda,earningsGrowth,revenueGrowth,price_change,average_price,price_to_average_ratio,rolling_mean,rolling_std,cumulative_return
Stock,2024-06-03 16:18:29.375680,AMZN,176.854,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.02600339174674282,176.97990208333331,0.9992886080179092,176.84795714285715,0.0476649366985411,0.0003620114259856866
Stock,2024-06-03 16:18:41.126484,AMZN,176.935,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,0.04580049080031845,176.97990208333331,0.999746287104893,176.86867142857142,0.049741890939992886,0.0008201821369988593
Stock,2024-06-03 16:18:52.827412,AMZN,177.05,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,0.06499561986039737,176.97990208333331,1.0003960784012282,176.90010000000004,0.08094835802330312,0.0014706714180667824
Stock,2024-06-03 16:19:05.415142,AMZN,176.9946,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.031290595876887206,176.97990208333331,1.0000830485071674,176.92218571428572,0.08288506959584271,0.0011573052774478398
Stock,2024-06-03 16:19:17.553830,AMZN,176.9834,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.00632787666968726,176.97990208333331,1.0000197644852635,176.94802857142855,0.06578646553527795,0.0010939532779004058
Stock,2024-06-03 16:38:36.455813,AMZN,177.1601,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,0.09983987198800559,176.97990208333331,1.0010181829379803,176.98244285714284,0.10150530129251938,0.0020934441993325503
Stock,2024-06-03 16:38:50.683684,AMZN,177.2,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,0.022522001285829596,176.97990208333331,1.0012436322660132,177.02530000000002,0.12213182768363946,0.0023191356977203537
Stock,2024-06-03 16:39:02.950798,AMZN,177.12,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.04514672686228849,176.97990208333331,1.000791603538128,177.0633,0.0991745094938743,0.001866621415238523
Stock,2024-06-03 16:39:15.009829,AMZN,177.075,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.02540650406505085,176.97990208333331,1.0005373373786923,177.0833,0.08153680150716576,0.0016120821313423406
Stock,2024-06-03 16:39:28.131891,AMZN,177.07,177.53,176.44,175.97,178.7,buy,460.5,165.78,209.16,202.62,1.7,590739996672,57.133,160560005120,74.107,85074001920,8.175,96609001472,2.167,0.125,-0.002823662289985762,176.97990208333331,1.0005090855831995,177.0861571428571,0.0805195184856586,0.0015837999886871845
